Leventhal 128ch EIB electrode tested on 1/14/2015 at 11:15:11 AM
42% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	3.135	-87.9	00:00:50	0.294	-76.8	
2	2.797	-86.4	00:00:25	0.228	-78.1	
3	3.461	-87.9	00:00:25	0.235	-76.2	
4	1.801	-84.9	00:00:20	0.243	-78.9	
5	2.045	-84.3	00:00:15	0.240	-79.0	
6	3.354	-88.3	00:00:25	0.249	-77.7	
7	3.431	-88.2	00:00:25	0.224	-76.4	
8	4.645	-89.8	00:00:25	4.617	-89.8	
9	4.816	-89.6	00:00:25	4.820	-89.9	
10	5.004	-90.8	00:00:25	5.024	-90.4	
11	4.795	-89.9	00:00:25	4.780	-89.6	
12	4.733	-90.4	00:00:25	4.666	-90.0	
13	5.028	-90.2	00:00:25	5.092	-90.1	
14	5.003	-90.4	00:00:25	4.957	-90.4	
15	4.310	-88.9	00:00:25	4.275	-90.0	
16	4.680	-90.3	00:00:25	4.651	-89.5	
17	5.274	-89.8	00:00:25	5.273	-90.0	
18	4.733	-89.9	00:00:25	4.725	-90.1	
19	5.327	-90.4	00:00:25	5.425	-90.1	
20	4.976	-89.4	00:00:25	4.951	-90.2	
21	5.341	-90.4	00:00:25	5.361	-90.1	
22	5.767	-90.2	00:00:25	5.880	-89.9	
23	5.680	-90.7	00:00:25	5.695	-90.1	
24	5.974	-90.3	00:00:25	5.929	-90.2	
25	2.332	-85.4	00:00:25	0.251	-77.5	
26	2.837	-86.0	00:00:25	0.239	-75.9	
27	2.816	-87.3	00:00:25	0.309	-76.5	
28	3.199	-85.9	00:00:25	0.260	-75.0	
29	1.600	-84.8	00:00:25	0.261	-77.5	
30	5.569	-89.5	00:00:25	5.586	-90.5	
31	2.494	-85.7	00:00:25	0.311	-76.1	
32	2.833	-86.4	00:00:25	0.293	-76.5	
33	6.417	-89.4	00:00:25	6.597	-89.6	
34	2.595	-85.2	00:00:25	0.245	-77.1	
35	1.611	-83.1	00:00:20	0.250	-78.9	
36	2.440	-85.0	00:00:20	0.245	-77.5	
37	2.193	-85.2	00:00:25	0.253	-77.7	
38	3.139	-85.4	00:00:20	0.240	-77.3	
39	2.976	-85.9	00:00:25	0.232	-77.3	
40	3.110	-86.0	00:00:25	0.287	-75.4	
41	7.114	-89.5	00:00:25	6.943	-89.3	
42	7.151	-89.4	00:00:25	7.187	-89.8	
43	7.095	-89.4	00:00:25	7.144	-89.9	
44	6.342	-89.6	00:00:25	6.462	-89.5	
45	7.182	-90.3	00:00:25	7.201	-90.5	
46	6.500	-89.4	00:00:25	6.528	-89.9	
47	7.102	-90.7	00:00:25	7.130	-90.5	
48	7.022	-91.8	00:00:25	6.929	-90.3	
49	6.924	-89.9	00:00:25	6.922	-90.1	
50	6.626	-90.1	00:00:25	6.728	-90.6	
51	7.036	-89.9	00:00:25	7.085	-90.7	
52	6.720	-90.6	00:00:25	6.753	-90.2	
53	6.970	-90.0	00:00:25	7.006	-89.6	
54	6.583	-89.7	00:00:25	6.588	-89.6	
55	6.988	-91.2	00:00:25	7.085	-90.2	
56	6.374	-89.3	00:00:25	6.303	-89.5	
57	2.318	-84.9	00:00:25	0.259	-77.1	
58	2.784	-84.9	00:00:25	0.278	-77.7	
59	6.539	-89.1	00:00:25	6.542	-89.9	
60	3.339	-85.7	00:00:25	0.307	-76.1	
61	2.210	-85.3	00:00:25	0.220	-75.5	
62	2.492	-85.1	00:00:25	0.279	-77.5	
63	2.704	-86.4	00:00:25	0.335	-76.0	
64	6.161	-91.3	00:00:25	6.140	-91.0	
Average	1.671±0.113	-84.3±1.0		0.262±0.030	-77.0±1.1	
