Leventhal 128ch EIB electrode tested on 1/19/2015 at 9:32:59 AM
39% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	2.125	-75.5	00:00:25	0.296	-66.2	
2	2.559	-77.4	00:00:25	0.379	-69.6	
3	0.747	-67.0	00:00:25	0.663	-64.3	
4	4.207	-89.4	00:00:25	4.243	-88.9	
5	1.221	-67.9	00:00:25	0.226	-69.1	
6	4.139	-89.1	00:00:25	4.142	-89.6	
7	1.952	-63.7	00:00:25	0.352	-68.5	
8	4.176	-90.1	00:00:25	4.181	-89.6	
9	4.792	-89.8	00:00:25	4.819	-89.4	
10	5.109	-90.0	00:00:25	5.059	-89.4	
11	4.811	-89.5	00:00:25	4.868	-89.6	
12	4.778	-89.1	00:00:25	4.769	-88.4	
13	5.208	-90.1	00:00:25	5.235	-89.5	
14	5.056	-90.0	00:00:25	5.043	-89.9	
15	4.330	-89.9	00:00:25	4.362	-89.3	
16	4.565	-89.6	00:00:25	4.702	-89.0	
17	5.235	-89.8	00:00:25	5.271	-90.1	
18	4.663	-89.6	00:00:25	4.689	-89.2	
19	5.331	-90.0	00:00:25	5.450	-90.7	
20	4.975	-89.9	00:00:25	4.936	-89.9	
21	5.337	-89.6	00:00:25	5.395	-89.0	
22	5.758	-89.9	00:00:25	5.905	-89.7	
23	5.628	-89.6	00:00:25	5.626	-89.8	
24	5.793	-88.7	00:00:25	5.852	-89.8	
25	2.522	-68.3	00:00:25	0.305	-69.5	
26	1.651	-72.7	00:00:25	0.262	-70.4	
27	5.576	-90.0	00:00:25	5.489	-89.4	
28	1.803	-75.1	00:00:20	0.233	-71.2	
29	5.515	-90.3	00:00:25	5.566	-89.8	
30	1.025	-77.3	00:00:15	0.228	-73.6	
31	1.427	-70.7	00:00:25	0.241	-66.7	
32	5.676	-90.5	00:00:25	5.653	-89.8	
33	1.049	-65.0	00:00:25	0.239	-67.0	
34	0.913	-72.5	00:00:20	0.241	-69.5	
35	1.239	-78.6	00:00:15	0.230	-71.7	
36	1.435	-73.7	00:00:25	0.332	-66.5	
37	2.493	-77.4	00:00:25	0.410	-66.3	
38	0.642	-72.3	00:00:10	0.242	-70.8	
39	1.047	-68.4	00:00:25	0.199	-68.0	
40	1.186	-72.1	00:00:15	0.248	-69.8	
41	7.019	-89.1	00:00:25	6.983	-89.6	
42	7.146	-89.1	00:00:25	7.104	-89.1	
43	7.132	-89.5	00:00:25	7.067	-89.3	
44	6.462	-89.4	00:00:25	6.359	-89.6	
45	7.160	-89.9	00:00:25	7.136	-90.4	
46	6.512	-90.5	00:00:25	6.593	-89.6	
47	7.149	-90.5	00:00:25	7.112	-90.4	
48	6.896	-89.4	00:00:25	6.968	-89.8	
49	6.973	-91.1	00:00:25	6.885	-89.1	
50	6.594	-90.9	00:00:25	6.540	-90.5	
51	7.082	-91.0	00:00:25	7.029	-90.4	
52	6.685	-89.8	00:00:25	6.556	-90.4	
53	6.903	-90.5	00:00:25	7.035	-90.4	
54	6.501	-90.0	00:00:25	6.521	-89.7	
55	6.975	-89.9	00:00:25	7.014	-89.8	
56	6.172	-89.6	00:00:25	6.070	-90.0	
57	1.190	-79.6	00:00:10	0.233	-74.1	
58	1.401	-80.0	00:00:15	0.215	-71.9	
59	0.789	-74.7	00:00:15	0.202	-71.5	
60	1.630	-77.2	00:00:15	0.245	-70.8	
61	0.832	-78.0	00:00:10	0.242	-75.5	
62	2.729	-71.1	00:00:25	0.222	-69.8	
63	6.648	-90.4	00:00:25	6.813	-90.6	
64	2.586	-60.1	00:00:25	0.231	-70.0	
Average	1.220±0.368	-73.0±4.9		0.277±0.097	-69.7±2.7	
