Leventhal 128ch EIB electrode tested on 1/9/2015 at 6:56:30 AM
47% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	3.273	-84.6	00:00:25	0.280	-76.5	
2	3.076	-83.6	00:00:25	0.283	-74.9	
3	3.803	-85.9	00:00:25	0.357	-73.6	
4	3.051	-81.4	00:00:25	0.273	-75.6	
5	3.255	-84.9	00:00:25	0.362	-76.4	
6	3.324	-85.8	00:00:25	0.362	-74.5	
7	3.040	-84.7	00:00:25	0.357	-76.2	
8	2.557	-81.9	00:00:25	0.271	-77.3	
9	4.583	-89.3	00:00:25	4.562	-89.8	
10	4.890	-90.5	00:00:25	4.950	-90.1	
11	4.756	-90.1	00:00:25	4.760	-89.6	
12	4.583	-89.8	00:00:25	4.549	-90.0	
13	5.061	-90.4	00:00:25	5.053	-90.1	
14	4.934	-90.1	00:00:25	5.046	-90.4	
15	4.297	-90.5	00:00:25	4.283	-89.4	
16	4.666	-89.3	00:00:25	4.583	-89.6	
17	5.158	-90.6	00:00:25	5.267	-89.1	
18	4.699	-89.6	00:00:25	4.725	-89.6	
19	5.371	-89.5	00:00:25	5.389	-89.9	
20	4.889	-89.8	00:00:25	4.902	-89.8	
21	5.398	-90.4	00:00:25	5.424	-89.7	
22	5.825	-89.3	00:00:25	5.822	-89.7	
23	5.672	-89.0	00:00:25	5.756	-89.7	
24	5.892	-89.8	00:00:25	5.843	-89.9	
25	3.117	-83.5	00:00:25	0.326	-76.3	
26	2.799	-80.3	00:00:25	0.290	-76.6	
27	3.749	-81.9	00:00:25	0.268	-74.6	
28	2.815	-80.7	00:00:25	0.298	-76.5	
29	2.962	-83.0	00:00:25	0.360	-75.6	
30	2.361	-81.3	00:00:25	0.432	-75.8	
31	3.414	-81.4	00:00:25	0.420	-75.8	
32	3.389	-84.0	00:00:25	0.436	-74.3	
33	4.535	-83.6	00:00:25	0.310	-74.9	
34	2.702	-82.4	00:00:25	0.341	-78.2	
35	3.493	-81.2	00:00:25	0.310	-77.1	
36	4.319	-66.8	00:00:25	1.503	-26.5	
37	3.373	-81.2	00:00:25	0.273	-74.7	
38	3.286	-83.1	00:00:25	0.349	-75.6	
39	4.048	-84.0	00:00:25	0.343	-74.3	
40	4.344	-82.7	00:00:25	0.303	-74.5	
41	6.965	-89.1	00:00:25	7.023	-89.5	
42	7.137	-90.0	00:00:25	7.237	-88.9	
43	7.131	-90.2	00:00:25	7.108	-89.0	
44	6.410	-90.0	00:00:25	6.438	-89.9	
45	7.232	-90.1	00:00:25	7.195	-89.8	
46	6.521	-89.4	00:00:25	6.436	-90.2	
47	7.133	-90.9	00:00:25	7.133	-90.2	
48	6.935	-90.5	00:00:25	6.892	-90.4	
49	7.013	-90.9	00:00:25	7.033	-89.4	
50	6.659	-90.4	00:00:25	6.649	-89.8	
51	7.194	-90.6	00:00:25	7.148	-90.2	
52	6.767	-89.2	00:00:25	6.704	-90.1	
53	7.080	-90.0	00:00:25	7.047	-90.8	
54	6.659	-89.5	00:00:25	6.700	-89.8	
55	7.144	-89.4	00:00:25	7.148	-90.5	
56	6.389	-89.3	00:00:25	6.334	-89.7	
57	3.525	-77.3	00:00:25	0.293	-73.4	
58	3.012	-81.6	00:00:25	0.308	-76.4	
59	3.667	-80.1	00:00:25	0.286	-74.9	
60	3.453	-83.7	00:00:25	0.413	-75.0	
61	4.142	-80.8	00:00:25	0.350	-74.9	
62	6.843	-89.6	00:00:25	6.914	-90.1	
63	3.603	-80.2	00:00:25	0.297	-76.2	
64	6.430	-90.5	00:00:25	6.456	-90.5	
Average				0.368±0.220	-73.9±9.0	
