Leventhal 128ch EIB electrode tested on 1/9/2015 at 7:46:38 AM
48% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	4.519	-89.1	00:00:25	4.530	-89.1	
2	0.385	-74.8	00:00:10	0.243	-71.7	
3	4.863	-90.0	00:00:25	4.868	-88.7	
4	4.925	-89.9	00:00:25	4.928	-89.2	
5	4.866	-89.1	00:00:25	4.806	-89.7	
6	4.968	-89.4	00:00:25	5.047	-89.5	
7	4.930	-90.1	00:00:25	4.824	-90.1	
8	4.768	-89.1	00:00:25	4.846	-89.0	
9	4.001	-88.2	00:00:25	0.291	-71.4	
10	4.761	-89.9	00:00:25	4.836	-89.7	
11	3.758	-86.4	00:00:25	0.334	-75.0	
12	3.532	-86.8	00:00:25	0.304	-74.9	
13	4.092	-89.2	00:00:25	0.319	-72.4	
14	3.396	-85.4	00:00:25	0.263	-75.6	
15	4.072	-89.6	00:00:25	4.081	-89.2	
16	2.984	-85.5	00:00:25	0.313	-76.6	
17	2.369	-83.0	00:00:25	0.293	-76.4	
18	1.927	-80.7	00:00:25	0.254	-76.1	
19	4.108	-87.7	00:00:25	0.390	-75.5	
20	2.690	-85.0	00:00:25	0.329	-76.1	
21	3.267	-85.6	00:00:25	0.269	-76.9	
22	1.365	-82.5	00:00:25	0.228	-78.1	
23	3.792	-86.4	00:00:25	0.368	-74.7	
24	5.704	-90.1	00:00:25	5.793	-90.0	
25	5.531	-90.2	00:00:25	5.582	-90.3	
26	5.339	-91.0	00:00:25	5.293	-90.4	
27	5.727	-90.1	00:00:25	5.865	-90.5	
28	5.523	-90.3	00:00:25	5.503	-90.0	
29	5.561	-90.4	00:00:25	5.549	-90.4	
30	5.638	-89.9	00:00:25	5.604	-90.1	
31	5.913	-91.2	00:00:25	5.969	-89.9	
32	3.790	-84.1	00:00:25	0.356	-74.6	
33	5.323	-87.3	00:00:25	0.551	-68.1	
34	6.155	-89.5	00:00:25	6.045	-89.5	
35	4.567	-87.5	00:00:25	0.490	-73.5	
36	4.036	-84.2	00:00:25	0.282	-75.3	
37	4.682	-87.9	00:00:25	0.370	-74.6	
38	3.453	-81.8	00:00:25	0.242	-75.3	
39	4.950	-89.1	00:00:25	0.573	-71.4	
40	4.021	-81.8	00:00:25	0.262	-76.6	
41	6.553	-89.0	00:00:25	6.575	-88.9	
42	4.135	-82.3	00:00:25	0.265	-75.4	
43	6.422	-88.8	00:00:25	6.397	-90.1	
44	6.142	-90.1	00:00:25	6.110	-90.3	
45	6.985	-90.9	00:00:25	6.885	-89.8	
46	6.273	-89.8	00:00:25	6.388	-90.3	
47	6.659	-90.3	00:00:25	6.740	-89.6	
48	6.757	-90.5	00:00:25	6.822	-89.8	
49	3.957	-83.7	00:00:25	0.338	-77.0	
50	2.863	-83.1	00:00:25	0.279	-76.6	
51	4.753	-85.7	00:00:25	0.355	-71.4	
52	3.094	-83.9	00:00:25	0.252	-76.7	
53	3.835	-82.3	00:00:25	0.297	-77.0	
54	3.206	-83.0	00:00:25	0.272	-75.7	
55	4.465	-84.5	00:00:25	0.341	-76.2	
56	6.295	-90.2	00:00:25	6.250	-89.1	
57	6.354	-90.3	00:00:25	6.408	-89.3	
58	6.622	-90.4	00:00:25	6.560	-90.6	
59	6.675	-90.1	00:00:25	6.669	-90.0	
60	6.467	-90.0	00:00:25	6.596	-90.2	
61	6.691	-90.8	00:00:25	6.657	-89.9	
62	6.461	-91.1	00:00:25	6.442	-90.4	
63	6.450	-90.5	00:00:25	6.527	-90.7	
64	4.484	-85.3	00:00:25	0.329	-74.8	
Average	1.226±0.780	-79.3±4.0		0.324±0.083	-74.9±2.2	
